sequence,class
"2.465410721,4.03546476,-2.09545881,4.582996915,-1.770967738,0.811283407,-0.617398237,-1.15834239,-1.369341515,-0.671273925",1
"4.025530151,2.811459872,-1.488365494,3.855645821,0.263747966,1.243580538,0.898089991,-0.060287216,-0.732007319,0.885596323",1
"4.867874046,4.147586292,1.434130933,3.898195218,1.080553138,-0.105787433,-0.47484014,-0.134271045,-1.169390759,-0.671273925",1
"3.266015385,3.653360843,-0.363541159,4.601127332,-0.210017247,1.579404598,1.011839938,0.570796263,0.804100655,-0.671273925",1
"2.57575626,5.092514091,1.866918621,4.545926197,0.292141951,-0.537456225,-1.401211597,2.755098272,-0.007747532,-0.671273925",1
"4.6647539159999996,3.880938639,-1.400287727,4.016134363,0.471254773,2.068444432,1.363088752,1.204830754,-0.379857397,-0.671273925",1
"2.968199942,2.416910282,0.331997902,3.592410055,-0.442382288,-0.671663399,-0.145654987,-0.672468864,-0.103147928,-0.671273925",1
"3.314462578,3.494903152,-1.372316466,3.883291629,0.55880403,0.707909326,-0.84337783,-1.081494102,1.09669791,-0.671273925",1
"4.84442221,3.566666816,0.117638818,4.347835048,-0.199824126,-0.560057046,0.031486576,2.685139276,1.732526163,-0.671273925",1
"3.587852521,3.640736229,0.935120581,5.050718602,0.068699285,1.085969525,-0.787840501,-1.875028998,-1.655061083,-0.671273925",1
"3.329696133,2.553015823,-0.664683101,2.43545678,-1.211281799,0.087775307,0.392044269,-0.536444855,-0.456956469,0.885596323",1
"4.32985505,5.773969115,-1.260218714,3.279751202,-1.286476971,0.411410889,-3.131743299,0.142002708,0.616167095,-0.671273925",1
"4.419178739,4.652544101,0.282434086,4.270337678,0.766636737,1.023722518,-0.09859538,-0.745346919,0.39427098,0.885596323",1
"4.558117157,3.643843242,-0.982531684,3.437024665,0.600762975,-0.4904912,-0.406166247,-0.415553635,2.090116377,-0.671273925",1
"4.045701983,5.695064559,-0.986892142,3.611053862,-0.686153575,-0.619936492,-1.799461314,0.390376881,-1.971699494,-0.671273925",1
"4.526867663,4.264778656,-1.100983541,3.608234624,-1.449070154,0.915177834,-0.718969275,-0.10861294,-0.856843428,0.885596323",1
"3.599557122,5.081255899,-1.364356693,4.4601731,0.936983767,0.130128735,1.277107373,-0.305988706,-0.901143942,-0.671273925",1
"4.947177821,3.810374548,-0.327202124,4.407618264,1.826384987,0.943168381,0.738042575,-1.919417321,0.577321122,-0.671273925",1
"3.933368498,3.65124414,0.363028632,4.678024868,-0.763401112,-0.471159489,1.93220819,1.660489807,2.782083583,-0.671273925",1
"3.466481851,3.166452373,0.818188328,4.249652199,0.031264032,-0.416322129,0.460183559,-0.66152257,-1.336046907,-0.671273925",1
"4.394017122,1.926980475,-0.030367614,5.892653139,2.143413558,1.919316391,-1.921808669,-1.424293958,-2.661425269,-0.671273925",1
"3.592136032,2.187292606,-0.915581505,4.916483739,2.440356137,-0.173036785,-1.379990204,-0.191262596,0.319735736,-0.671273925",1
"3.921563372,4.397909785,-2.427061672,3.887707068,0.972500702,0.542911842,-0.704455737,1.811431605,-0.389148291,-0.671273925",1
"1.828277485,6.367999408,7.350406294,-2.778815701,1.467675754,3.09081037,-0.834280036,-1.063134369,-2.533511939,-0.671273925",1
"3.452449574,5.331635226,6.562217682,-1.824789366,0.259692418,0.238214856,-0.820916072,-0.237096261,-1.89938955,-0.671273925",1
"2.377879501,7.582173091,7.17592341,-3.095938053,3.044608351,4.378211655,-2.906500168,-0.891213119,-0.664710751,-0.671273925",1
"2.876336325,6.639623472,6.082039155,-0.777776972,2.580928755,1.888906364,-1.798861447,-0.630486097,-1.802249987,-0.671273925",1
"2.554069585,6.538833507,5.782347619,-2.354527195,0.143640102,2.890194102,-1.270276791,-0.092333309,-2.606762855,-0.671273925",1
"2.607933164,6.025085768,7.369126253,-3.038030302,1.476514707,2.461355573,-1.769353846,-1.689314847,-3.158583447,-0.671273925",1
"2.997468582,6.486585412,7.058859328,-3.479128065,2.07878129,4.123146443,-2.639837595,-2.74249907,-1.705041892,-0.671273925",1
"2.994375328,6.396893474,5.320303692,-2.440864826,2.098535722,1.097745496,-2.065465843,-1.470726705,-2.271531494,-0.671273925",1
"3.809693925,7.019839052,7.179032461,-2.038528074,1.076921443,1.404095028,-1.691988304,-1.412321664,-0.122828981,-0.671273925",1
"2.473930648,5.454334354,5.740053782,-2.042008703,0.308766947,1.830561184,-0.606825614,-0.419902394,0.121999475,-0.671273925",1
"2.712119402,3.907301617,7.208549597,-2.222524465,1.176971316,3.811217339,-1.236626678,-1.221959107,-1.900127229,-0.671273925",1
"1.084201041,5.88796063,8.16081266,-4.056179089,1.095792976,0.038718809,-0.381852636,0.227218443,0.529164244,-0.671273925",1
"2.122870717,6.63535024,7.996822758,-5.104031831,-0.251380209,-0.784377254,0.572491959,1.04175179,0.698287029,-0.671273925",1
"1.744684951,6.812114671,8.127245578,-5.263482369,0.672657631,0.262462516,0.963239303,0.237065666,1.409008709,-0.671273925",1
"1.994790927,6.202513991,7.383995956,-2.214111135,-0.861527274,-2.253759894,1.619342849,-0.559932869,2.15276383,-0.671273925",1
"0.240232289,6.128926689,8.863075644,-4.736633936,-0.682534658,-1.754424741,1.913444463,0.589968933,-1.636335835,-0.671273925",1
"0.944126905,5.666797598,8.471426116,-3.204082866,0.410925489,-1.574522372,0.682505928,1.773861807,0.305158068,-0.671273925",1
"0.894827676,5.679564021,8.502674798,-4.900330075,-0.097130096,-1.418662465,1.359946982,-0.684468226,-0.302474021,-0.671273925",1
"1.46850191,7.152798958,6.257031702,-4.077954709,-0.801938558,-2.82297764,2.138197047,-0.232668112,1.364461468,-0.671273925",1
"2.160827392,5.999316825,7.854061797,-3.895927732,-0.320410441,-1.460940705,0.920415519,0.54457471,2.971843378,2.442466571",1
"1.704459069,5.26318791,6.040881646,-3.331036635,-1.82649518,-2.945455143,1.116733011,1.657556974,0.888837016,0.885596323",1
"2.35064582,7.196128914,7.310044808,-4.757259325,0.805386731,-1.121180293,0.73626208,-0.57319441,1.009804787,-0.671273925",1
"1.567941783,6.146417526,8.440540898,-5.510462955,-2.11979582,-1.732481558,1.043605907,0.743312563,1.402910339,-0.671273925",1
"2.054496111,7.46159887,7.040077041,-5.434042435,-2.665347591,-1.857171094,2.890772893,-1.866722766,-1.371185776,-0.671273925",1
"0.593379645,7.149811868,8.938295169,-4.968510775,-2.67959326,-2.92574528,1.156679027,1.141119447,-0.292167563,0.885596323",1
"1.137350652,6.219690887,8.320793716,-4.919026037,-2.03217629,-0.150396493,0.667474186,-0.002365544,0.716621639,-0.671273925",1
"1.647483457,5.940314483,8.323380331,-5.578576717,-0.334506407,-0.693721379,0.319753501,1.354831508,-0.129194741,-0.671273925",1
"4.677763172,2.37837445,-5.635052385,-4.045866007,-0.376640117,-1.611639921,1.563821128,2.094956173,-0.149211889,0.885596323",1
"4.988458967,2.184889752,-7.269613614,-3.254606388,1.143638884,-0.352677992,-0.10037336,2.32018309,-2.626465498,0.885596323",1
"5.237659074,2.142308358,-6.938629802,-5.221799209,1.080328138,0.979335263,-0.745702418,0.465604562,-1.359709313,2.442466571",1
"5.49796838,3.02200034,-5.480458416,-4.295658345,1.362531917,-0.138130549,-1.061761445,0.729824123,-0.028297172,0.885596323",1
"4.044734274,1.848638658,-5.049086138,-5.576696185,0.211617955,-0.514488311,1.782466082,0.90951513,-0.21034403,-0.671273925",1
"5.196423727,0.64285329,-7.169988555,-4.436333994,-0.299657149,0.535536289,-0.480011338,3.100761265,-0.103825625,2.442466571",1
"5.206746467,0.212552568,-6.229673287,-2.719391322,0.787221584,-1.074301275,0.151007414,1.436971601,0.690384599,0.885596323",1
"5.780308548,1.944253876,-7.57907583,-4.6610812,1.005822293,-0.453820639,-0.29785971,1.510600708,-1.761245427,2.442466571",1
"5.063112587,1.646414883,-5.953513268,-4.486633802,1.545377623,-0.545860257,0.709818184,1.459655018,-0.630811693,0.885596323",1
"4.973477566,1.40908827,-7.051871322,-4.520366541,-0.079084177,0.543769494,-1.141185825,2.530596076,-0.733020655,0.885596323",1
"5.635169415,3.157951875,-7.250690454,-3.139608037,1.169577441,-0.899984298,0.985540029,2.083634583,-1.928998019,0.885596323",1
"4.624608505,0.880439754,-7.682406161,-2.007219104,0.132356544,-0.504830979,0.52760171,-0.029909081,-2.044556415,-0.671273925",1
"5.639570224,2.891454973,-5.682696788,-4.155227867,0.778185775,0.61126942,0.050068533,2.828895814,-1.692863205,0.885596323",1
"4.57322105,0.324682073,-6.097910578,-3.446579001,-2.270844671,-1.703327323,1.008088144,-0.748291983,0.351329851,0.885596323",1
"4.806307344,2.246015409,-6.193438789,-2.182704107,1.082756578,0.329690803,-0.029862621,-0.496011331,1.07181722,0.885596323",1
"5.329997941,0.240287532,-5.652050306,-3.977495981,-0.389928792,0.349166472,0.889963953,-2.277241392,0.49032668,2.442466571",1
"5.011706761,3.053302988,-4.346638563,-4.082658508,1.065768742,-0.674719528,-0.233242195,1.512677693,-1.017145843,2.442466571",1
"3.66744014,0.063621173,-5.07066693,-2.913887074,0.239308802,0.176997456,-1.885485635,-1.175181647,0.873660135,-0.671273925",1
"4.667567795,0.74435987,-3.905494106,-3.325516036,0.570099803,-0.166058736,0.788776307,-0.062551404,0.759505042,-0.671273925",1
"3.867471393,0.267483869,-2.739498831,-3.567720852,0.681009654,0.614161255,0.514298269,0.441178846,1.494910537,0.885596323",1
"5.534154517,1.396793075,-3.82018816,-0.685873772,-0.266885332,-0.359509996,-0.6502951,0.762424867,1.675404344,0.885596323",1
"4.802662066,1.74223402,-4.622312763,-1.319214661,-1.017427703,0.814836693,-0.800723865,0.685976717,1.775199371,-0.671273925",1
"4.661115333,1.628583396,-5.293111465,-3.031982824,0.261825792,-1.766026857,-0.323832732,-0.882862079,1.858756695,-0.671273925",1
"3.497573576,1.261483229,-5.289782213,-1.564398091,0.299564044,-1.568994944,-0.046272289,0.639415809,2.746165153,0.885596323",1
"5.435288601,1.421966266,-6.15032774,-3.692594639,-0.577905279,-2.160941433,-0.312504013,-0.933492123,-0.830825525,0.885596323",1
"4.283241248,3.03865827,-6.106248698,-0.704434826,-1.342848189,-0.897034774,1.892972141,2.394509438,-0.970403742,0.885596323",1
"4.629202437,0.516423163,-4.993735778,-0.795443429,-2.109431046,0.268139066,0.965756414,0.723143289,1.124845921,2.442466571",1
"4.153054057,1.574213141,-4.281753763,-3.396506521,-0.244802128,0.020778567,0.215758426,0.228632016,1.627052459,2.442466571",1
"4.112657076,0.415723651,-4.012604809,-3.541423,0.655865025,-1.55058354,-0.465999556,-0.416773718,3.001424001,2.442466571",1
"4.562678449,1.595991105,-6.255159966,-3.083078787,0.15569309,-2.50943941,-1.186470063,0.641546377,2.893239279,0.885596323",1
"4.559052232,1.581629228,-5.121036528,-4.312312318,0.021703049,-0.787173197,-1.83805369,-0.118590051,1.200644371,0.885596323",1
"3.101334592,1.477101014,-5.75915251,-2.08374486,-0.750614879,1.061578667,-1.34165525,-0.215556162,-0.133415306,0.885596323",1
"3.235086031,-0.974829163,-4.049595446,0.020907414,-0.489322329,0.627622418,0.087942171,0.737715332,3.262126019,0.885596323",1
"4.972613812,1.900829773,-4.944773948,-1.368755226,0.538729112,-0.045408124,0.782996907,-0.370055403,1.284956947,2.442466571",1
"-0.41448797921150715,-2.46587309170262,-0.2441809255901367,1.9263625315542574,1.0178880709497622,1.1779542004568266,0.926870373469533,-1.5625006463334745,-1.7898715900573972,0.8349333619086564",0
"0.4228977086910631,-1.2847194400703337,1.0703777554206242,0.5087731616973975,-1.1892808722250396,-0.8879963318456654,0.8327028148218235,-0.3345815375985426,0.6801288941860534,-0.8513172504561889",0
"-1.0646751320280443,0.2746492938951583,-0.4679074142386058,0.5062659715560781,-0.3370177052200236,0.4471953830463896,-0.610941060563587,0.3674433499362762,1.0175318379707636,-0.977981207535191",0
"-0.2535816013051197,-0.42131497874357066,-0.49106551636146367,-0.3462570923571819,1.2920602080620935,0.841085523190927,-0.5537276085066634,2.4653999087946015,0.6667917605448597,1.6469014406731477",0
"0.4171675300423971,-0.5424907191682842,0.4329493865068939,-0.2544162211360073,0.8811065810910075,0.5387194279876866,0.30697030860465896,-0.1783922241063424,0.28744012434958793,-0.8954804782672758",0
"-0.836516814978043,-0.14596654209464052,-0.007275457071752897,0.2778747921974943,-0.03283861772059508,-1.4359860716112307,-0.9011961174265882,-1.1216643945608287,2.157318712272993,-0.18636611121097071",0
"0.28929734781568306,1.5674610824299993,-2.2538032627444338,0.8502749341244653,1.8156661405329773,-0.4989812220388994,0.5759651123190422,-0.4424180252106304,0.9525157683533837,1.107860994343031",0
"-1.9548555684446791,-0.2040590464278476,-0.5307402058609346,-0.9532191759272103,-0.4454188699307384,0.23562572952934507,-0.3013746204983738,0.2761996030192555,-0.22808979129412746,0.1401656543308485",0
"3.0469324789285217,0.98712099677925,1.3380151285925077,-0.4390513608874778,0.38160361783702085,0.2483771145954473,0.5949793868140101,-0.3755354200400096,-0.2593192036100924,0.21506004407542312",0
"1.2689951843670293,0.46116946091441324,0.2339229025010475,-1.1062607814092897,-1.1071459799719263,-0.1570761993741615,0.6102070852854866,-0.7834420273039868,-0.010814334056052654,1.4415210799671718",0
"0.08983804219606978,0.38050262586283284,-0.09799631638122547,0.0343492143472748,-0.1979956899188426,-0.059444522188268685,-1.1406660434402611,-0.9659654755389547,-0.10480231530248893,1.9098520762849658",0
"-0.43302857109389103,-0.9142591691495084,1.037215832583075,0.21464199864401143,-0.21182429691485805,0.048435175581611555,0.20424347096864193,-0.49589787556334164,0.45948219808773333,-0.31337943459485856",0
"-1.7482006017784444,0.6373888386665483,-0.0016412194001804129,0.44652959267681486,1.2096493803227577,-0.37586727272840265,2.5739503168953184,0.23110240606187954,0.8277052219439194,-0.8508678770508004",0
"-0.23226433427263637,-0.07903517893188568,2.805910187955532,1.3258835254213563,-0.7822079326995083,-0.6409099136017588,-1.325403755319828,-0.5823802988857951,0.15421029331548916,1.2332665091994472",0
"-1.1295327361686538,-1.5465502047804889,0.27542765923830825,1.1536060631568126,0.5547905386770211,1.4471702682438108,-0.6955706410959056,0.55524007313537,-0.05250451158793178,-0.5257180446625579",0
"1.0909498890785307,0.04732679361023301,-0.04907198068254976,1.522083036137833,0.8709303112257404,-0.2968760842236713,0.05159270461621175,-0.3451743256189772,0.1009870770922862,-0.816551208566801",0
"-0.8416130225549671,0.7536988518280637,-1.3680325741290156,-0.7883532601345711,1.2267361615798458,-0.13371083300949238,0.07544629693250489,-0.8868237277834805,0.6583951788068141,-0.182875250556858",0
"2.8977298711711934,-0.47252566106495075,1.0065496279124615,1.6325820216542077,1.1652948012529132,0.0020520427791975195,-0.2290484585275067,0.6458041401643841,0.999259801463844,1.6838125280898995",0
"-1.2908643948197422,-1.7187051928924775,-0.7956132037045323,-0.00524701749737438,0.35769846561264834,0.8505732599978666,-0.4046852440861063,2.4371281450543822,-1.3445659957443905,-0.623072251031498",0
"-0.7124940247892764,-0.29187046815103534,-0.19813598831832516,-0.7628799371414299,-0.3113259072353589,-0.2955429972932837,1.6377560497865855,1.9250739133278278,2.397372547042643,0.07685454058660411",0
"-0.19856274634477,-1.4112346111721195,-2.738695784674261,0.4494663414919768,-1.5635306983791624,-1.3522728449324877,-0.765936827485118,0.09371325091783772,-0.8543164998696852,0.6074154324845032",0
"0.5373372879493782,0.3488821273267772,-1.2604018862608242,-0.19862775976485797,-1.5656694428745854,-0.9888604083008505,1.0792679332477964,1.4113742866360175,-1.3153647706908005,-1.9961300069448336",0
"1.666552512296382,-0.33747114185319393,0.7139283593643092,1.5752577463731725,0.493103513366719,-0.011664877437937005,0.5084225884980274,-0.4780432434960737,1.2553967626211096,-1.201951161475673",0
"-0.08293336360974815,0.11123203097834676,-2.399197080648851,-0.3763038400460572,0.7426262686178494,2.1739099974546794,1.0499019453796934,0.7482384308961183,1.022174336650254,-0.800498438938234",0
"1.3276709703206362,0.377396829488888,0.2360532861640404,-1.2492784319219856,-0.5068160197922748,0.3088410965433523,-0.38663977966674823,-0.025956635741939918,-0.38581249677043583,0.9133702314453517",0
"0.879748161490319,0.8310499580840597,-0.5684344692778446,-1.2140742101245312,-1.0268499507367874,0.6091963727128815,-0.24732940329975348,0.4180631581384796,0.3822517842174574,0.8802366651116059",0
"0.8365859656259669,-0.8738424773416146,0.33662962488371684,-0.5414524320328677,-0.8144699994375618,-0.27303164004935504,0.5581823030934434,0.5096526877006327,0.8279830558342158,-0.8919017056424158",0
"0.8440044988296087,-0.23708249909294063,0.06531913538890105,-1.573498316770092,-1.4234210645994188,1.0840543735277457,0.6446625292697435,-0.42963420192970597,1.0493164769246037,0.3713352479930064",0
"0.873792336514711,-0.6545308810914194,0.13312906530064114,0.742930884900888,-1.3927622130775754,1.9603262926756029,-1.7928433631094987,0.4127370838842298,0.7863441560279748,0.8947766939833308",0
"0.8460186606755462,-0.7285345107130612,0.3150798188252514,0.9567439778995566,1.048614202838608,-1.0617792728437208,-0.7042390559110963,-0.16583424331184443,-0.5120489463727473,1.7301820491772837",0
"-1.202505865409749,0.5303052405683553,-0.3283184787078318,1.2506598168285203,0.364759376538892,-0.8246477682381328,-0.1779127386849581,-0.11968419133208105,-0.6708595669039635,-1.1215246902516363",0
"0.4179061740663099,1.2463790407420108,0.06373350620675926,-0.2217382913044201,0.9771451836277302,0.33427037229768997,-1.3837651131250415,1.42298432603025,1.117657701395688,-0.12308429721077992",0
